model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.9219544457292888,1.3298452634618654,0.23181675620970796,1.3047142106802345,0.25969254052982976,1.5466331399435898,0.011666915580610756,0.9747960447359144,0.0051322852837173034
rf,0.925075955787711,1.3428124700234239,0.2699838593925604,1.3594483198943779,0.26638036665301607,1.4295313226684692,0.003913703529648995,0.8939663200615335,0.0035925623196547476
ada,0.9198833053768262,1.2867200383643822,0.3024607534679365,1.3020813268684461,0.31520094719664016,1.4876471211843727,0.001577974201828651,0.890517358161106,0.00291686428668697
gd,1.1208844811299594,1.243847944061881,0.5213326165760682,1.2449426285066694,0.5405389028337229,1.1772653949601062,0.11535433587197035,1.0874033982904385,0.00029106107971578097
xg,0.9564901318468311,1.2322389513868446,0.2000911696557484,1.2879576681206213,0.20119309396787252,2.3826672012646966,1.1203113999379264,0.9771954304462325,0.0019027379482701205
mlp,1.223069251578158,1.792075166729927,0.16997941192996088,1.5443305606733397,0.10736398630213091,2.053041450638757,0.6195352934332943,1.1641478111628352,0.007086164286493759
svm,0.9677452376022959,1.1333410365698504,0.24220958780984417,1.1634715004269938,0.25755153069507497,1.4916328695400942,0.15892204385882067,0.9882992910339213,0.0009863648638307164
vot,0.8885744012737162,1.228783644746119,0.2501273385615541,1.2346265387201039,0.2656244782010234,1.4371218516067525,0.015832107768578116,0.8906043004180737,0.0018123427134851182
