model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.7200920834835307,1.004729031773107,0.24068251718595443,1.0159062498675997,0.28039739245291706,1.090108378652625,0.06584196423357182,0.7925464313569395,0.0034171479938732885
rf,0.8498607315107052,1.0409322419431568,0.17767373822517357,1.0730143886394963,0.1718352454643051,0.9687047209445017,0.08015985527085853,0.8191358855907319,0.002449951803821039
ada,0.8218703537153895,1.0169789553006787,0.2115017611095959,1.0217897366869044,0.26313115567388634,1.0433692517969693,0.05884574880727577,0.8431389478753022,0.0013931033905803115
gd,0.8899506120526891,0.9548734853252092,0.20629869112319973,0.960947577576066,0.22554670145734115,1.0347367602561999,0.09051794049304691,0.9360669347301269,4.0815436760260406e-05
xg,0.9131969907376704,2.107070713271543,0.025113686155127275,2.1055102233201977,0.02408978652652332,1.4061153441057261,0.2652592154488749,2.0727608402244777,0.032767775875977054
mlp,0.8158464408042191,1.3247013747179412,0.05221081507307611,1.26799469901423,0.10843164154406548,2.440949034300229,0.11979471622322456,1.0389356722878866,0.015373381645975799
svm,0.7086436598230994,0.9349291467768085,0.1040862299489693,0.9587365573534594,0.1093922149608015,0.9240793005493706,0.09003293954700363,0.7412883309578181,0.002102505049628777
vot,0.7458835232719805,0.9624651392816936,0.19090917894888002,0.982503969777188,0.2113660822676453,0.9601208997378303,0.10081078798271628,0.7635250216922139,0.002100696585384957
