model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,4.8456670470054775,6.581629333029645,-5.201808709045267,6.368494530502127,6.955734722236082,6.572205954533226,0.6177259281967765,4.8005164796720905,0.2042118291896649
rf,4.650905230728861,6.151837739144036,-7.7774600828255505,6.074995451843162,7.704544788458654,6.044640054464944,2.7416661606381787,4.538806445459046,0.16054129467873027
ada,4.61952709949317,6.083783893864478,-8.207378815569252,6.10347800855492,8.90270938192342,6.164851941812308,2.590148520992242,4.582922691333686,0.17095912934981353
gb,4.725712462373782,5.588450105216465,-6.286382454048345,5.7947075266504955,6.064366031616208,5.8948506679719035,2.800407381618182,4.5473926123964565,0.17621677329826207
xg,5.234544211884178,5.857332024309089,-7.208472351095672,5.853879956148278,7.483021335620652,6.012131364203988,2.4726118134026853,4.939713183134302,0.04785990993908806
mlp,4.744200967827385,6.149826541894848,-3.7572111588618013,6.770918304543048,9.394591233466281,6.456749782731058,0.4801529010968366,4.7975672557557285,0.09201431096659739
svm,4.895940398127962,5.802669898209598,-8.049775376490773,6.090176153606846,8.949890189109837,6.260547397069184,2.660345536759839,5.028322608669499,0.07841522452686592
vot,4.594570662495075,6.168428002835766,-7.035098910947899,6.051859074674205,7.907692895878341,6.030715789068832,2.511397014084436,4.551661411850721,0.1293406534323742
