model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.067300536298286,1.4478931474921652,0.20013608847496842,1.4236953414760123,0.2670085437677956,1.5729133570273817,0.4241685810329623,1.1277425880685488,0.00530663320448824
rf,1.0908820005538702,1.3571795429093219,0.16143307631241974,1.3263243442228723,0.21920059092305355,1.5123726531132857,0.04698678559423204,1.1189750763124653,0.003270791551533831
ada,1.1156520748594037,1.365393123097026,0.22570999978749617,1.3276852594558384,0.27361981519081335,1.671339852617967,0.01505127500040249,1.1316616089954326,0.004946742744728706
gd,1.2863434558579545,1.2837881517102872,0.3136320685610133,1.2720376270362497,0.35823652439055875,1.5176070409738587,0.16130420134643264,1.3213778143458454,0.0005471767482468916
xg,1.418969035029736,3.4999926329149234,0.0724389068457445,3.4828649869795463,0.05067260279161124,2.2436146617987,0.8489660025510223,3.1131552360197734,0.14456394660765606
mlp,1.3809622459707886,1.7354219579913832,0.15854853447226655,1.5165285450740138,0.2443589887298291,3.1964415999672693,1.1402866895878427,1.4224725215935226,0.03672969439189476
svm,1.063779104325642,1.3618561531796105,0.17463180896076008,1.3466290655555708,0.2191241757252783,1.4708179076336498,0.09277951865669898,1.0629272560843757,0.004506046064929988
vot,1.0453522386988396,1.345010007974934,0.19157693086181093,1.3175658717065968,0.2458360096614495,1.5028610873821782,0.14546682688535392,1.0677393804694053,0.0029341542675998577
