model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.8599797773153184,1.193008077715846,0.3365941927686847,1.180894351568809,0.3673921009853344,1.3915855315494055,0.19213197428091147,0.9660205898927706,0.008587242092144103
rf,0.9809887316110052,1.1427598700538444,0.2852569565560432,1.1371759611939827,0.3119263731842733,1.337544483652092,0.07550293988883412,0.9800299258165076,0.00023232604022583564
ada,0.9954040835292748,1.1395483557357753,0.38668181816165914,1.1282980972521937,0.42568537913102683,1.3419985443884141,0.16808666073631603,0.9728670312788149,0.0010392967840745252
gd,1.1160912629852722,1.2071737707289438,0.5605447166626845,1.2059870785955433,0.5840371581305788,1.1801052234459204,0.12998871743279664,1.0817428988785556,2.9793180457733542e-05
xg,1.248710588239505,2.6635425509249364,0.10212073596149919,2.7066383671077654,0.06892869579208002,1.9325892071344413,0.7091411014014977,2.7370464608690876,0.06392688148324313
mlp,1.051605978105393,1.3979232791698404,0.2834306083362931,1.5881320862308281,0.21849728763007997,1.5771711503983525,0.08660404732132752,1.3018271993905082,0.06011823735939631
svm,0.8377342675597707,1.1244878030072054,0.24902091890181094,1.103007422940989,0.27185884238675007,1.231288642428078,0.14539153729436646,0.903414743660342,0.0010167994678463475
vot,0.8715888795716041,1.1060314429520264,0.33211837458631827,1.0935464212867791,0.36131977290918577,1.276304442833767,0.1890447535168042,0.9120957075255025,0.000815856306362457
