model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.215122108732466,1.5552476351928721,0.17670165520373973,1.5394211579325034,0.21395098939067134,1.6948833002480872,0.005465342713541525,1.1852854279610219,0.010361698183381628
rf,1.1436478210115717,1.4525283901917367,0.1880424864548606,1.4269167869331436,0.22250199753893454,1.5952679333376718,0.00012197003444727996,1.1223662761750959,0.0006240892446697916
ada,1.1413113258023528,1.4367769751897486,0.25444931893830686,1.4352517726904985,0.29436605193442217,1.6729226911998563,0.00043614401496253335,1.1074953732435175,0.0003629160428500547
gd,1.2898519386753278,1.277765509036206,0.3458358953934878,1.2647242291558043,0.38847291776867476,1.5666202001588307,0.141273744448086,1.3124008602034094,0.0006134544363936127
xg,1.1746101527889863,1.3927074473456469,0.26426357063189887,1.4972946317531044,0.26752922899797676,1.7649087661809788,0.00988395128459148,1.1914750262975429,0.007956775924417158
mlp,1.3113667623623284,2.4781292526832646,0.21732763246239326,2.1067898896804005,0.37024258950275,2.088555997213239,0.09295104095039888,1.4548789877707733,0.009461074412397316
svm,1.1933802726871894,1.357087278479361,0.319801609849093,1.3796100170842749,0.3284774295857432,1.6533550183283983,0.07103504705995309,1.1972461646578287,0.005070874111857557
vot,1.13792594554621,1.4136422976548684,0.23947227562018522,1.416314958590092,0.26389548797354967,1.6166190621567553,0.007302104696168833,1.1121259637754881,0.002681099697261726
