model,train_test,cross_val,leave_group,leave_dataset,stratified
knn,5.411679251528916,-5.7039320742251505,6.412611142871411,6.481853958649796,4.84338125286565
rf,5.1693368227538965,-5.220088460807248,6.3093532061877955,6.49836048296117,4.777078947959784
ada,5.302165555230825,-5.1373988943680065,6.303903742747102,6.657309755865995,4.834179254711162
gb,5.442468425673892,-5.1982377110165565,6.046106583390586,6.0787303814650695,4.761947359036625
xg,5.4600874402387305,-5.192677970228853,6.2098457087402705,7.076383525455364,4.899516404207394
mlp,5.474238362546598,-5.179345917696132,6.1409526560473715,6.804002462948248,4.889660750766696
svm,5.65315047378903,-5.530595209699026,6.166865054565645,6.641347577584442,4.902736964974041
vot,5.11781845630734,-5.195582568372269,6.068449565172737,6.154280518874211,4.676141629000457
