model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.6968874901395802,0.8153168360948105,0.04215080762271116,0.7980704528230912,0.03955875359614941,0.8339738323660175,0.0036181350457716293,0.7792155176331016,0.0016635562254491481
rf,0.6566323867264787,0.8030845458339301,0.0338220491131243,0.7961423313776573,0.02962986029037491,0.8206865594803027,0.007250011576962609,0.7772732919832928,0.000247092929095005
ada,0.6546387993405777,0.7795327185715429,0.03470524722829315,0.7826452364575682,0.03176847492057162,0.8005754642071058,0.003459797117425785,0.7758054444977992,0.00010138749066099672
gd,0.8045948032908957,0.9373662156951169,0.04327437969746459,0.9427912558419578,0.03580986132372824,0.8916732952896876,0.0003730852012436839,0.8925069947031827,5.118719227805228e-05
xg,0.9583709828897866,2.3546886808430205,0.1205460281875525,2.2669616503466488,0.11722792551004008,1.3722187991951542,0.2268434084171871,2.146807296813505,0.0030549452267555253
mlp,1.0071653748977125,1.1538414468075509,0.010721517759407754,1.2339186340242743,0.024952141020438176,1.333478583197644,0.0007283393030766138,1.0413799670011135,0.001175496998401546
svm,0.6669231395720014,0.7916913375010222,0.037380900357868334,0.7802824815556826,0.03210777125570057,0.8100966050873987,0.004077400792943439,0.7473726912492566,0.0013715146227123679
vot,0.6363493598572774,0.7822952732728654,0.03899031194222828,0.7741582248554032,0.03534796998970794,0.8056698874808288,0.004868364659967383,0.7535147207268333,0.0006484256564596692
