model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.7185999370757121,1.0014364909882234,0.23251572514014676,1.0136743947970612,0.27099650491562177,1.0884363643153983,0.06700154983347067,0.8097854500620845,0.0032441958784440593
rf,0.8402556259906262,1.0462969598351692,0.16705935950144618,1.0704512489567866,0.1608264367729982,0.9694651929797984,0.07457456608782632,0.8199241887799216,0.0006383743370489112
ada,0.8262805113471801,1.0167846320723655,0.21280028954214356,1.0204278037588463,0.26118122473477917,1.0441188647420827,0.057175323622781445,0.8410367111373686,0.0009502958419941939
gd,0.8908088416502501,0.9506227721480446,0.19488700385622032,0.957926530077418,0.21329281819129253,1.0243981185759705,0.09364314143105573,0.9364241278145652,0.0002824346166423225
xg,0.9076102691977108,2.164173453657024,0.016817821702828854,2.0796074719400366,0.035593937568737195,1.3705575948124364,0.24558125393088026,2.1987534296224607,0.048472555619586785
mlp,0.7953421226942745,1.0448182976864873,0.06274185105800711,1.3918732944091663,0.17822077564118918,1.9309191443628193,0.31610375068227153,0.978154127707425,0.017969514412947325
svm,0.7086843964887002,0.9351000101302324,0.10364884508182615,0.9586834941627875,0.10890779672947605,0.9235644673595544,0.08991020173065703,0.7435198183921914,0.001294965263147115
vot,0.7450774785969969,0.9630983051559082,0.18643846980512283,0.9813270588239458,0.20591233200077827,0.9589221033050195,0.10006128731354909,0.769178107067461,0.0006570494008061241
