model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.114723596077599,1.4267347592826747,0.2682927084240247,1.441589590679557,0.29517450125523736,1.7100409838372,0.2325096158205149,1.1523466055552942,0.010269695635825072
rf,1.1623432445004183,1.461396824875573,0.217921826558968,1.4212596970984106,0.30110121017996544,1.6020482035994057,0.0241405782414676,1.1677794942081567,0.002336525019673453
ada,1.1259736494408004,1.4716329590794537,0.3228307626446165,1.4418873034715536,0.4181401270334095,1.7148184507464967,0.010800113945088983,1.166730745101312,0.002584518184077948
gd,1.2941699747670377,1.27298820519252,0.3083810506382104,1.2589872996177183,0.35499622643726864,1.5372694839021412,0.1713116211061969,1.330993920979929,0.0003349840749814062
xg,1.4950047263816908,3.467578267059148,0.023543350457852687,3.306121970947966,0.05921448389428492,2.2434972664517145,0.8747674777724813,3.1509971368976024,0.014862303175432256
mlp,1.2279506980001147,1.7307348397838425,0.2077491240534189,1.7123953363898041,0.1967949105475246,1.5270876007276573,0.03470478447214671,1.5899177326655127,0.014441969661898394
svm,1.1543961695586686,1.5124400980259587,0.17062419040854104,1.500146480313324,0.2164928127268449,1.6032810037393297,0.1007348402019145,1.2283707791986476,0.001645868733379424
vot,1.0822777945409923,1.4150135948685112,0.2470369093918502,1.3985831815367313,0.311822009321883,1.618389795557985,0.08889597849983741,1.1160169419885526,0.00062653242763035
