model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.1684251757405555,1.5703905781690297,0.15392031987579666,1.5239972773312898,0.19492022382516608,1.5655430397481456,0.0009598987476459895,1.1474254619342292,0.007957036221439763
rf,1.0920531899663017,1.4115062094119037,0.15616988679141502,1.391892266678252,0.1948215879864522,1.5066023891998426,0.006765630525758704,1.0847975462041837,0.0016814752831888352
ada,1.0966527785028277,1.401569894890847,0.19289205761329598,1.4071393531892922,0.22512327172952568,1.5405331164027498,0.026580210309146788,1.0861369805662795,0.0013440143093571546
gd,1.1240330256568645,1.2304804090510788,0.20797635463327097,1.2255392200907749,0.24667255992302178,1.2996581376120642,0.1400659335725534,1.2032766086572693,0.00013257550169336034
xg,1.1119965910463354,1.3898536672816313,0.2718153019241841,1.4123955542561522,0.29866408656943094,1.7161742250314558,0.04649463679189589,1.12000962550259,0.001457536775168069
mlp,1.2937489573868248,2.2866611442645457,0.9189985623820979,1.8996506337902517,0.3527754759839854,2.0024536612066663,0.0008279392541145368,1.32762496637736,0.003339764836837658
svm,1.0835156166555504,1.3669715976430765,0.34807390974832414,1.3673176559650972,0.36296313610370906,1.5046838026019689,0.018150294437322863,1.1294304717460641,0.0014345076055752154
vot,1.0679522839826383,1.4022180640985764,0.21440718507223674,1.3932457550589863,0.24115721313045818,1.5016443899408038,0.01041875010211206,1.0670681266352244,0.0013635929900595164
