model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.061786845062523,1.442980760427431,0.2071206629056008,1.4189055367995433,0.2797221113002848,1.5746414690425752,0.4250263570516604,1.1549285303238148,0.010369453923283029
rf,1.1028112784772728,1.376407647202947,0.16700107645549167,1.3420603394319757,0.21999835856271446,1.5276843518411356,0.05750272030565449,1.1192288041375027,0.0019029815701276445
ada,1.1060295654312997,1.3490554560934167,0.22988483908018711,1.3288745291511825,0.28129262302907193,1.6810775854761701,0.020748020262319002,1.1216627794244485,0.004343070144736773
gd,1.2948224940650181,1.2790440554015092,0.3202076533104833,1.2690846022742042,0.3634620143051158,1.5268150018619635,0.15142509088250478,1.3125550639803578,0.00023979138583493995
xg,1.4173796638811065,3.419505978146627,0.10493518569121649,3.31368477013481,0.15492241056848718,2.197540820068174,0.7903582722314022,3.186559051202474,0.003741747737228798
mlp,1.2417069723243008,1.6080659501305927,0.06497147308863833,1.6541242230035567,0.19983075339699696,1.6767977832646457,0.16037347976278876,1.436495801857808,0.013035028487353918
svm,1.064494188710017,1.35992933158888,0.17523685019919372,1.3455719119200809,0.21843968928405308,1.4689477490189937,0.09209550439079144,1.0799870822734952,0.0009025487869092074
vot,1.0467753998709672,1.3433178498924174,0.1960467096986679,1.3202805171266805,0.25055242697935226,1.5120671781187403,0.15210505847125408,1.0746816467388427,0.0032496058672901547
