model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,5.371282840050977,5.611062871834392,4.867929032771113,5.583877076407818,5.354260670549823,5.689069179775894,3.155229547375693,5.476444762316054,0.24592809967232943
rf,5.476558394620721,5.646485078012504,5.248808459146901,5.660122584616477,5.791042865048326,5.8444232374478595,2.7206655960607153,5.287443637886305,0.08429145157340023
ada,5.287230504101321,5.462783009917055,5.449880221542933,5.486623947058988,5.715546298973036,5.636104206410909,3.6041414056886305,5.211142825960545,0.05145669370086474
gd,5.209466453456813,5.380861196784825,6.898736008836317,5.359691617962262,7.565313948619274,5.649147163129119,5.25233576043515,5.384717484799682,0.009128027657628058
xg,5.2414932004607575,5.54065817465805,5.412966247815522,5.516354753295258,5.881442162253735,5.558307673538489,3.900289808819078,5.305554238267344,0.04137497459739992
mlp,5.4467340561482755,5.513864908485782,5.100869864101316,5.39466252842757,5.858580538816409,5.458035380119571,3.998913197196304,5.305556799585574,0.10588597070462286
svm,5.263317720838355,5.415617522746602,7.238186885665366,5.3952694771778935,7.889291748353385,5.637725571840077,5.945149256828647,5.499148194707647,0.01231252483890153
vot,5.150975126567863,5.3824270416006135,5.9729599643397115,5.362625175178584,6.571561587533347,5.540485010384715,4.359785634574165,5.190520631117636,0.06246371846749046
