model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.1645114668914769,1.6416213201497891,0.11073586949054334,1.5927145805593965,0.11804215541026472,1.7990381799192972,0.11496882061271138,1.37986299005265,0.003994342503620868
rf,1.2247732383583374,1.4812120957589656,0.08340754782856138,1.4372884184350265,0.0818362328216203,1.6342135516388514,0.040107689262161565,1.380337742406016,0.009095579510688508
ada,1.1298363836092602,1.4434619503569854,0.19201653629122262,1.410047364929046,0.1912404991749735,1.6992077125490295,0.22777706594490552,1.3857026690679457,0.008558743700561495
gd,1.34918171095832,1.5066299938397458,0.37532133324388894,1.512952055223267,0.31991235486784453,1.6712759434820361,0.432498190600817,1.5902032691251677,0.0010169510706011964
xg,1.1780233543765048,1.6705024858937123,0.031202679372555005,1.6631511258108622,0.04533931803847278,1.7697182895139394,0.13149271770151083,1.364799434001609,0.006972627796950828
mlp,1.8451538543614636,2.000213807053609,0.15203834499904642,1.8628695391846712,0.2686059553535619,3.2945738793065327,1.1529084517897783,1.9227011590032108,0.0963359664911188
svm,1.327485562841354,1.5431009201692778,0.3236178726517655,1.5325482449322403,0.3010893519692906,1.771694066737688,0.2770089114257279,1.5895658529285357,0.002250111744065195
vot,1.1219327351225075,1.4673623236547533,0.18626923370830628,1.430507121973842,0.18172483325402639,1.6937690955080453,0.16498077696731014,1.3706487452536784,0.003047963128153049
