model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.8358801661565568,0.9682531122578407,0.13669014869796603,0.9679267032743791,0.14993284108486077,1.0549409557618354,0.07884423453950326,0.871633388574123,0.0025400919685349883
rf,0.8285545363317366,0.983781451560645,0.09663529674151167,0.9965524885279298,0.09528097658382954,1.0617716840144322,0.048400946669379365,0.9188427792402329,0.0011092598808082985
ada,0.8539922775377333,0.9500917672242325,0.13324683277689373,0.9579003571387951,0.14414270515510483,1.0534568400756676,0.08437687137710095,0.9226437788509038,0.0014463509903845147
gd,0.9275353496215669,0.969109813414502,0.1512894049780936,0.9765651330311333,0.16407893883075028,1.0466937792675242,0.12911707158784577,0.9940599317768812,0.0010196009767120514
xg,1.2292131621148683,2.6867033453299003,0.04938298807277131,2.750229272999262,0.026242616081978917,1.7485230683579367,0.3266069849461615,2.6672302629186886,0.10253064635745787
mlp,1.126300741781707,1.4187615611658664,0.21308061899335673,1.3799422387195586,0.102317077401098,1.3898204498683806,0.02408739156513872,1.2231502362431457,0.015454094339711136
svm,0.7984173782040624,0.9518979629440263,0.11714874151668836,0.9612935176777416,0.12101939898006235,1.0436922384368421,0.05393759784560277,0.8680604071589456,0.0038224585361165755
vot,0.7977068801067277,0.9402711876895508,0.12590598721216298,0.9478116798853979,0.1326499977683104,1.0299142410254487,0.07668600293741865,0.86718344985304,0.0018623898700530178
