model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.004987562112089,1.377061373843116,0.37509282807883626,1.3935549077639535,0.4264515032316634,1.5093297211518826,0.1959744563674868,1.1622867635532317,0.0002724783828609259
rf,1.07360351333936,1.4366372258551396,0.2670578203383519,1.4187195909113253,0.30385354064014486,1.5037107882191367,0.009459698071651887,1.156592470246836,0.0017789078810247815
ada,1.0930230082839822,1.4133211945563944,0.31419601488724014,1.4137315804644968,0.3736225127466558,1.603079126473858,0.02788330802847017,1.195024503914069,0.0007244185759823274
gd,1.1156030610939616,1.224727676836022,0.20644474246498867,1.2084507759661116,0.2501451046497431,1.3071951474472874,0.13982830399632604,1.2266854763921888,0.00046702384395482134
xg,1.2017386244784716,2.8152070916829883,0.21378963620573277,2.845346341991631,0.23555207224631167,2.031590351417353,0.8214626800355275,2.6008317411807638,0.01427365628921537
mlp,1.5951994518320267,1.9562308773029387,0.1609314516514356,1.5879403563046923,0.28571594512083925,2.0317834806871695,0.30108801987333356,1.4237963927777286,0.062009482883353444
svm,0.9723364504009958,1.4009929031410566,0.26495713789332737,1.4065375401494946,0.31238282199993245,1.4031552498439517,0.12181772424408022,1.06266052803778,0.0032613916723554202
vot,0.9723368634932438,1.3584790074700823,0.3164839436046797,1.3615019457670527,0.3607492846896748,1.461323778172796,0.08901551722280926,1.0888599016371103,0.0010961107787340208
