timestamp,u1_add,u1_del,u1_text,u2_add,u2_del,u2_text,u3_add,u3_del,u3_text,u4_add,u4_del,u4_text,u1_speak,u2_speak,u3_speak,u4_speak,speak_sequence
2019-08-24 12:10:19,0,0,,0,0,,0,0,,1,0,'',10.200000000000001,1.6,1.2000000000000002,6.4,"[1, 3, 1, 1, 1, 1, 1, 4, 2, 4, 2, 1, 2, 1, 1, 1, 4, 2, 1, 3, 1, 1, 1, 1, 1, 2, 2, 4, 1, 1, 4, 1, 1, 4, 4, 3, 1, 1, 1, 1, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 1, 1, 4, 4, 1, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 4, 1, 4, 1, 4, 4, 4, 4, 1, 1, 2, 1, 1, 1, 1, 3, 2, 4, 4, 1, 4, 1, 4, 4, 3, 1, 4]"
2019-08-24 12:10:49,0,0,,0,0,,0,0,,0,0,,4.4,4.4,0.6000000000000001,8.200000000000001,"[1, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 3, 1, 3, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 4, 4, 2, 4, 4, 1, 1, 4, 1, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 4, 3, 4, 4, 4]"
2019-08-24 12:11:19,2,0,'-''',1,0,'c',0,0,,0,1,'',6.6000000000000005,1.0,1.0,5.2,"[4, 4, 4, 4, 3, 1, 1, 1, 1, 4, 4, 4, 4, 2, 1, 3, 1, 2, 3, 1, 1, 4, 1, 1, 1, 3, 1, 1, 4, 2, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 1, 4, 1, 4, 1, 3, 1, 1, 4, 4, 4, 4, 2, 4, 1, 1, 2]"
2019-08-24 12:11:49,50,13,'x''''h''dhddh''hhdd''''''''''''''p''rote''cta''''a''''s''the''mi''toch''o''n''drio''n''fr''om t''he',0,1,'',0,0,,0,0,,9.200000000000001,1.4000000000000001,1.4000000000000001,3.6,"[2, 4, 1, 3, 4, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 4, 1, 2, 2, 4, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 4, 4, 4, 4, 1, 3, 1, 1, 2, 1, 1, 1, 3, 1, 4, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 3, 3, 1, 1, 4, 1, 4, 2, 1, 1, 1, 1, 4, 3, 2, 4, 2, 1]"
2019-08-24 12:12:19,34,1,'cy''topl''A''''a''sm''''a''nd''the''chem''ical''s''i''n i''t',0,0,,0,0,,0,0,,5.6000000000000005,1.8,0.2,6.4,"[1, 1, 1, 1, 4, 4, 1, 4, 1, 1, 4, 4, 4, 4, 2, 4, 4, 4, 4, 1, 4, 1, 3, 4, 4, 4, 4, 1, 4, 1, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 4, 4, 1, 1, 1, 1, 1, 1, 4, 4, 2, 2, 2, 2, 4, 4, 4, 1, 1, 2, 2, 1, 2, 2, 1, 1]"
2019-08-24 12:12:49,2,0,'-''',0,0,,0,0,,8,3,'''/''''/''''?''''c''he''m',2.4000000000000004,3.8000000000000003,0.8,6.0,"[2, 2, 1, 1, 2, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 2, 2, 4, 4, 4, 4, 1, 2, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 1, 1, 1, 1, 1, 4, 4, 1, 1, 3, 3, 3, 4, 4, 2, 2, 1]"
2019-08-24 12:13:19,0,0,,2,0,'-''',0,0,,85,0,'io''s''mos''is'''he''lps''m''ain''tai''n t''he''p''rot''on''g''ra''dien''t'as''we''l''l a''s the''ele''c''tron''''tr''ans''p''ort''chai''n',6.6000000000000005,3.0,0.6000000000000001,4.6000000000000005,"[2, 4, 2, 2, 4, 4, 4, 4, 4, 1, 3, 4, 4, 1, 4, 4, 1, 1, 1, 1, 1, 4, 4, 4, 1, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 3, 4, 1, 2, 4, 1, 4, 4, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 4, 1, 2, 1]"
2019-08-24 12:13:49,0,0,,0,0,,0,0,,48,0,'.''''T''he''c''r''ist''a''e''is''h''igh''ly''''fo''ld''ed''''and''co''mpre''ss'ed'''s',6.2,1.8,0.0,4.800000000000001,"[4, 2, 1, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 4, 4, 2, 4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 4, 4, 2, 2, 2, 2, 1, 1, 1, 4, 4, 2, 1, 4, 4, 1, 1, 4, 1, 1, 1, 1]"
2019-08-24 12:14:19,0,0,,0,0,,1,0,'',31,4,'o''''''th''us''inc''r''ea''d''''s''ing''s''ur''face''''a''rea',3.8000000000000003,4.2,0.0,5.6000000000000005,"[1, 1, 4, 1, 1, 2, 2, 4, 4, 1, 1, 4, 1, 1, 1, 4, 4, 4, 4, 4, 4, 4, 4, 1, 1, 4, 4, 2, 1, 4, 2, 4, 2, 1, 2, 4, 4, 4, 4, 1, 4, 1, 4, 1, 1, 4, 2, 1, 1, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 2, 4, 2, 2, 2, 4]"
2019-08-24 12:14:49,0,0,,2,0,'-''',63,3,'a''''mw''''e''d''i''um''''f''or''th''e''Kr''eb'''''s''''c''y''cle''t''o''ta''ke''p''lac''e''in''.''''c''o''''C''on''ta''in''s''e''ss',7,8,'''''''''o''n''dr''ion',7.6000000000000005,1.4000000000000001,0.0,1.4000000000000001,"[2, 2, 1, 4, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 2, 2, 4, 4, 1, 1, 1, 1]"
