timestamp,u1_add,u1_del,u1_text,u2_add,u2_del,u2_text,u3_add,u3_del,u3_text,u4_add,u4_del,u4_text,u1_speak,u2_speak,u3_speak,u4_speak,speak_sequence
2019-08-24 18:32:30,0,0,,0,0,,38,4,'a''rea''s''''e''co''no''my''''h''eaö''''''''pu''bli''c h''eal''th''''',0,0,,3.0,7.4,1.6,2.8000000000000003,"[4, 4, 1, 4, 4, 3, 2, 2, 3, 2, 3, 2, 1, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 4, 4, 2, 2, 4, 1, 2, 1, 4, 4, 4, 1, 4, 2, 2, 1, 2, 2, 1, 1, 1, 3, 2, 2, 2, 4, 4, 2, 1, 3, 2, 4, 2, 2, 2, 2, 2, 1, 2, 3, 2, 1, 1, 2, 2, 2]"
2019-08-24 18:33:00,0,0,,0,0,,15,1,'e''n''v''ir''onm''enr''''t''',0,0,,6.0,11.600000000000001,1.8,0.2,"[1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 3, 3, 3, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 3, 1, 2, 1, 2, 3, 2, 1, 3, 2, 2, 2, 2, 2, 2, 1, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 3, 1, 1, 1, 2, 1, 2, 3, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2]"
2019-08-24 18:33:30,0,0,,0,0,,0,0,,0,0,,6.0,12.8,3.0,1.6,"[2, 2, 1, 1, 2, 1, 2, 4, 3, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 4, 3, 3, 3, 4, 4, 3, 4, 4, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 1, 2, 1, 1, 2, 2, 1, 3, 3, 3, 2, 1, 3, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 4, 2, 1, 2, 4, 3, 1, 1, 3, 2, 3, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 3, 1, 2]"
2019-08-24 18:34:00,0,0,,0,0,,50,1,'''*''t''he''hea''lth''of''ot''her''''o''rg''an''ism''s''8''''(''fl''or''a''&''fa''una'')',0,0,,2.8000000000000003,7.4,0.2,1.4000000000000001,"[1, 3, 2, 2, 1, 4, 4, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 4, 2, 1, 1, 2, 2, 2, 4, 4, 2, 2, 2, 1, 2, 2, 1, 2, 1, 4, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 4]"
2019-08-24 18:34:30,0,0,,0,0,,0,0,,0,0,,6.0,10.8,0.6000000000000001,0.8,"[2, 3, 3, 2, 2, 4, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 1, 3, 1, 2, 2, 1, 2, 1, 2, 4, 2, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 4, 2, 1, 2, 4, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 1, 2, 1, 2, 2]"
2019-08-24 18:35:00,0,0,,0,0,,31,2,'a''gr''i''c''ult''ur''e''''*''f''a''rsm''''''m''s n''l''and''''n',0,0,,5.800000000000001,9.0,1.2000000000000002,1.0,"[3, 3, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 4, 4, 4, 4, 1, 1, 1, 2, 3, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 2, 1, 2, 4, 1, 1, 3, 3, 2, 2, 2, 1, 2, 1, 1, 1, 1, 3, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2]"
2019-08-24 18:35:30,0,0,,0,0,,6,3,'etc''''''e''tc',0,0,,4.800000000000001,14.600000000000001,0.0,0.4,"[2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 1, 4, 1, 2, 2, 2, 4, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2]"
2019-08-24 18:36:00,1,0,'',0,0,,0,1,'',0,0,,6.0,9.200000000000001,2.6,0.6000000000000001,"[2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 4, 1, 3, 3, 2, 1, 1, 2, 4, 1, 2, 1, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 3, 3, 3, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 3, 1, 2, 1, 2, 2, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 2, 1, 1, 1, 3, 2, 3, 3, 4, 3, 2, 2, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2]"
2019-08-24 18:36:30,0,0,,0,0,,0,0,,0,0,,5.800000000000001,9.4,0.4,0.4,"[1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 3, 1, 1, 4, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 4, 1, 2, 3, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 1]"
2019-08-24 18:37:00,0,0,,0,0,,0,0,,0,0,,5.6000000000000005,12.4,1.4000000000000001,1.4000000000000001,"[2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1, 2, 1, 3, 3, 2, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 3, 2, 1, 1, 2, 2, 1, 2, 2, 4, 2, 1, 3, 2, 2, 2, 1, 1, 2, 4, 1, 1, 1, 2, 4, 4, 1, 2, 2, 2, 2, 1, 4, 3, 3, 4, 3, 4]"
