model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,4.248298892293346,5.675512521550251,-8.593248747435519,5.759665975896195,9.24749295611732,6.3197161381325735,4.49097303013241,4.603289815284615,0.08771728546781518
rf,4.297569412575173,6.104167938725631,-6.212452980212401,6.0901894628572935,7.322697885368305,5.7084519531818065,4.385001618759703,4.6363693188007495,0.025038933717520074
ada,4.336421358678999,5.923410416729885,-7.30970860288012,5.857340971169681,8.531979259452141,6.094794719925048,4.61782221458509,4.90322023593202,0.02481274483715412
gd,5.056759557612696,5.493093595048229,-7.245859408154992,5.482945121682296,7.847076504872179,5.639809223527964,5.559773078260053,5.3050986334608226,0.004733450759003625
xg,7.003238958165813,8.690757042611999,-0.5520138335935943,8.570464928345032,1.5939386163984521,7.51461657765537,0.5052909644500756,7.006703553640816,0.3480026060605013
mlp,5.462204669305772,6.256540751079962,-2.3645986771933885,7.331266248176226,4.836173764128597,6.614923245590967,1.9776095610212245,5.336979937545734,0.040447953681657864
svm,4.35033384262796,5.8025125776009885,-6.589212923818839,5.776754290475243,7.6011658900930765,5.88316433972963,5.1247135802464365,4.591488907158395,0.022087682222669124
vot,4.1726268285817145,5.714265753343499,-7.368578748164824,5.723371188638959,8.29729934004839,5.82350262931786,5.5101928493347385,4.537508843788079,0.02382200740984582
