model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,4.164507774035246,6.413150051767962,5.881283466383357,6.201568915673196,7.031442507355496,6.698194770153227,0.04297504937621602,4.502836140099248,0.1327135252722506
rf,4.3018953286859105,6.286769862987981,7.355217562526353,6.211061442092303,7.073965897371279,6.369225028474924,0.5124652468071952,4.455983184073553,0.0343127622622532
ada,4.333369964700061,6.152629292752804,7.904591689748772,6.113499958713069,8.15965549053061,6.628516640813096,0.33019579874680477,4.5370157797149995,0.06623181535419449
gd,5.065646157926833,5.491774136013481,7.239186923066025,5.469546603960956,7.839128756004219,5.676097817423859,5.4028830827440135,5.238915837330105,0.006936106083084316
xg,4.348115663017112,5.972034780330042,7.058378258848176,6.482103765214684,6.448328448650602,11.7977276409068,20.25731861559427,4.548794284542051,0.052953035510615774
mlp,5.202725659618983,8.950485382561885,12.349949041779814,8.115513869041054,17.751346950535357,13.825101769340737,104.31947236970112,6.094725206783438,0.5310743970512749
svm,4.601224245006975,5.396123899797204,8.397217861825503,5.36666757426612,8.614482838365381,5.6211365154989394,4.703495419801851,4.759416114851772,0.015918000075056657
vot,4.1226579352097685,5.887576661019359,7.139295440895377,5.795880806399673,7.508484088155803,6.102875518181876,1.0837367498218944,4.361666742292856,0.016169250942556626
