model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,0.6978227007909175,0.8161252291582968,0.04229230773170398,0.8011401622509483,0.04054385622258732,0.8417210702002524,0.004445275941334082,0.7649851606878758,0.0013131002952202634
rf,0.6433344732792105,0.8045258653918512,0.029367592811260623,0.8058976757830841,0.028149941977373524,0.8188097272633641,0.009541310435966748,0.7747277784679246,0.0024789514612100823
ada,0.6335200416077581,0.7793001877569576,0.03405450400937094,0.7819600089584123,0.03028562803018828,0.8021068656595742,0.004504534380208051,0.7625743079898564,0.001078865524094819
gd,0.7890733824447986,0.938408147827742,0.04702889257094657,0.9432291184543423,0.036454444291987624,0.8818544262333814,7.242907141326484e-05,0.8901986692894552,0.0011435404807024212
xg,0.95603646584292,2.3256354327150524,0.10525121709748222,2.1990985269824153,0.11055991899175331,1.3703884291361943,0.21002926230979052,2.0628732261028544,0.03550590392200459
mlp,0.7321680553604829,0.9554706565584133,0.030897792015419766,1.0925090215525053,0.07874607594127134,1.1071373699088745,0.05718337109521286,0.9366197091891996,0.015791821163281147
svm,0.6652669496464685,0.789221478696842,0.0371790268408192,0.777976667006028,0.031822214339172594,0.8095350544857969,0.0036369504462447407,0.7280892849751753,0.0022006209221313963
vot,0.6318279644545005,0.782013238747113,0.03760572943445404,0.7767041217406974,0.034551703894093726,0.807116277314857,0.005678867948174643,0.7410032507701299,0.0015986566815934511
