model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.4444797468744361,1.511427351097836,0.18547574181004686,1.5139373178800293,0.1592657541600419,1.8260963636207665,0.060715104240263565,1.452595890344019,0.005153459916423559
rf,1.3167669612980164,1.4940936329475238,0.12387750902459083,1.4621621399364624,0.13297896076356575,1.774993554334474,0.04781976249132099,1.4724391296341617,0.004044530061876688
ada,1.2900013705747826,1.4468326985589424,0.2707571808543238,1.4477128457288475,0.24385415456499634,1.9128912151756334,0.03139882925689507,1.4899942090797358,0.0005208199310578708
gd,1.3728844685186619,1.5272742007317484,0.3970369011643944,1.5357414799486713,0.3430007488050937,1.6697864597426142,0.4575684369552391,1.624277803473431,0.0007451635609142897
xg,1.684650539344564,4.178485332910667,0.27404074959026903,4.114908196239259,0.04070408733099473,3.008925201569122,0.163798049704866,3.857788052072785,0.11289774746493594
mlp,2.0267416596432475,1.760592994676659,0.17893161141198463,2.0749875743848145,0.03809260261428511,2.49102507635092,0.22418817093209364,1.8757963777444142,0.021985579962494613
svm,1.3063606064379676,1.4927667366279938,0.12206897718689115,1.4844084322287363,0.12094341335091963,1.7904712115378258,0.030765595606327092,1.3922367676125216,0.002239406507259069
vot,1.2618715411556518,1.4495832322769746,0.1787653535211515,1.4398774689090783,0.16850729856103733,1.785837311015703,0.05712299714814901,1.4086689820941305,0.0006941252111300696
