model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.0234213718443768,1.406915997912936,0.30078710059378677,1.3895800649635774,0.3808746335243792,1.50469867521331,0.2641676354810075,1.1025348287020096,0.026547101589546773
rf,1.0273710353597967,1.3678201090435,0.24362061951182828,1.3464913665014742,0.2994697059864828,1.4127124280718037,0.040634199607582557,1.0955748170085535,0.0035185423410777155
ada,1.0038167517203678,1.355483819245491,0.309405730941425,1.354314159138071,0.3910415732189764,1.5369575094295955,0.04772978791016025,1.1241142684382566,0.00849295477095927
gd,1.1180981640844119,1.24336190650322,0.2070113189467928,1.231504203225887,0.25583020425818565,1.292163025857126,0.13706475973038457,1.224470281896189,0.0008053964381343661
xg,1.1876906629130324,2.802493742821835,0.0890591430258289,2.798483761281432,0.11039122078081635,1.968186618833836,0.40091326204264716,2.758489581245732,0.09316251132518737
mlp,1.1971144683479087,1.7870297299868427,0.5507436277372173,1.7324317008200285,0.32898179485369416,2.0540695965581808,0.031342678413283726,1.4156873871994171,0.021032597867969266
svm,0.9331976358474108,1.3335177218386993,0.23030481071394968,1.316754961752343,0.2798470018338197,1.3446099449778715,0.0987294873671882,1.047813075884474,0.01032598903289481
vot,0.9514910865553861,1.3206936478975866,0.28312008748714046,1.3094749037264493,0.3448564169222365,1.387712233338585,0.14335557692029316,1.047475613014862,0.010429584756452871
