model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.4174379826936376,1.557773914186229,0.13894418128186864,1.5561094484349831,0.12842767668700594,1.8883292375625174,0.048806886605539425,1.5163043841254924,0.0017216676119151443
rf,1.321346140634476,1.4689788752536368,0.12362821825956943,1.4877297708429242,0.10725364500498115,1.7385258206589451,0.04308879217892998,1.4562539244904127,0.0017496649986783951
ada,1.2886560102020852,1.4465739893533216,0.26313702678083345,1.45180497390463,0.23867542493454122,1.9128408148069922,0.03565441075327134,1.487013650374958,0.0007582459947941586
gd,1.364466760871759,1.522815456705283,0.4060295650869673,1.532804002503998,0.3479709836486096,1.6567256090666813,0.4386516374222647,1.6252639857659865,0.0010165371075374753
xg,1.8836693527937718,4.00420947644234,0.13280658550608684,4.050699142144638,0.041790086543321045,2.999899453886342,0.4609767876581986,3.8838700980896768,0.19558647175295854
mlp,1.90885214222305,2.1702903259789874,0.009257903758602118,2.0071980235816227,0.08255487818444711,2.265323562435408,0.017289901344172586,2.010245555626298,0.08498306313852157
svm,1.3959530059808276,1.6395259634025101,0.1011863983651078,1.6400814231668865,0.1043954869790692,1.8876770546452875,0.013117650732458153,1.489814147067942,0.0022254418206794314
vot,1.2841578446538784,1.4752244191651074,0.16230263247908802,1.4814463627938905,0.14751361908155752,1.8085857376219923,0.04772289397239865,1.427804255899253,0.0008817971390478126
