model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,4.248298892293346,5.834860673283904,7.909607612429301,5.914437705156385,8.453111075752146,6.300711334664079,6.751754390879509,4.880284465809924,0.024439318136103907
rf,4.49580867088318,6.106390514724169,6.682213571645627,6.078985081952585,7.67943050062547,6.454962256214699,1.386128911418599,4.683961058500735,0.024334967944308828
ada,4.532705483476425,6.032217042106382,6.9275520709963505,6.000632245729417,8.04473195426748,6.730676700135575,1.5964710572892356,4.8280812029017115,0.017372762247653637
gd,4.912964455756727,5.419845034224124,7.073478253534778,5.412741070938325,7.760632856163344,5.690479238745931,5.601443037710326,5.202581387546678,0.007916377312244052
xg,6.100903649365911,13.785209471434545,1.4428754456578143,13.413944826429853,2.6644828954247544,9.09929767023275,15.622307020523257,13.532685179146952,3.378087004898
mlp,7.125786627922875,6.946994145701215,2.5602456180435738,7.2839623570100045,4.43488074828914,7.57983522920448,0.7586792940740057,5.840190064775755,0.17073330523697353
svm,4.439604836777772,5.9298959459480605,6.732110196749365,5.898669546280548,7.743680007013363,6.026871270142275,5.633189326432766,4.760126806013703,0.060313031221332344
vot,4.238472994310618,5.7850010672681975,7.412674413427841,5.788028664548515,8.317424112072908,6.182422655875692,4.21952089241311,4.59997298869508,0.019719173175002123
