model,train_test,cross_val_mean,cross_val_var,leave_group_mean,leave_group_var,leave_dataset_mean,leave_dataset_var,stratified_mean,stratified_var
knn,1.2765442481133604,1.604863395296866,0.1103238334789014,1.578346243182908,0.09564263075217526,1.841493362168375,0.06714636424887233,1.451787830619808,0.009105084206942102
rf,1.2515827982420766,1.5598872348070134,0.10235218035567994,1.5503219887356494,0.11046312842694203,1.811612025612376,0.036348141795763234,1.4207499802576093,0.002218157410328687
ada,1.2252955603046682,1.5122583292150864,0.19783226406870325,1.4914637592892426,0.1895690970786576,1.8473324622428637,0.06761202748303244,1.396846880827528,0.0025567604870929232
gd,1.3654218836502503,1.5241506853549693,0.3880119620528139,1.522611904004392,0.3318045748529751,1.6702107615165085,0.47617420269267424,1.6066781346959773,0.0018975631009348693
xg,1.2663499440895656,1.596292197872247,0.1437788960533093,1.5758484321233812,0.16547764060823011,2.1355534326244627,0.01282225780939424,1.4076928222532894,0.00727833092471857
mlp,1.8250635652169853,2.6823260953758696,0.9875184235554798,2.059457846798014,0.7056445335744319,3.1975866034323497,1.5484825063342296,1.6734447252813853,0.013255525861450578
svm,1.3891828213288506,1.5265888813885249,0.360072790518783,1.524942540489894,0.3281184420072217,1.7880534504993402,0.2450900017918358,1.6233401435507064,0.0028240761999956746
vot,1.1940250225513438,1.4876521343643194,0.19427855823338544,1.4682944654724248,0.1815938010917509,1.7883514996450374,0.10792428298392018,1.4108567536636334,0.0012573380694485819
